Objectnummer,Street,Housenumber,Postal code,City,Country,Gebruiksdoel,Functie,Google maps link URL,Longtitude LNG,Latidtude LAT,OSM_Way_ID
48595191,N/A,N/A,N/A,N/A,Netherlands,school,N/A,"https://www.google.com/maps?q=52.2616747,4.6203717",4.6203717,52.2616747,48595191
237804824,N/A,N/A,N/A,N/A,Netherlands,yes,N/A,"https://www.google.com/maps?q=52.4641772,4.5752392",4.5752392,52.4641772,237804824
237804966,N/A,N/A,N/A,N/A,Netherlands,power,N/A,"https://www.google.com/maps?q=52.4643261,4.5771871",4.5771871,52.4643261,237804966
268124898,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.260367,4.6262891",4.6262891,52.260367,268124898
268124999,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2606196,4.6252429",4.6252429,52.2606196,268124999
268125260,N/A,N/A,N/A,N/A,Netherlands,shed,N/A,"https://www.google.com/maps?q=52.2611912,4.6227407",4.6227407,52.2611912,268125260
268125498,N/A,N/A,N/A,N/A,Netherlands,yes,N/A,"https://www.google.com/maps?q=52.2590814,4.6233813",4.6233813,52.2590814,268125498
268125644,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2602768,4.6264578",4.6264578,52.2602768,268125644
268125740,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2619088,4.622743",4.622743,52.2619088,268125740
268126191,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2621605,4.6219569",4.6219569,52.2621605,268126191
268126573,N/A,N/A,N/A,N/A,Netherlands,shed,N/A,"https://www.google.com/maps?q=52.2611443,4.6227369",4.6227369,52.2611443,268126573
268126604,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2622206,4.6217522",4.6217522,52.2622206,268126604
268127544,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2616088,4.6234267",4.6234267,52.2616088,268127544
268127822,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2605845,4.6218796",4.6218796,52.2605845,268127822
268127893,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2605022,4.6218139",4.6218139,52.2605022,268127893
268127898,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2598589,4.619604",4.619604,52.2598589,268127898
268127918,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2600284,4.6241737",4.6241737,52.2600284,268127918
268128029,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2631259,4.6228622",4.6228622,52.2631259,268128029
268128043,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2591079,4.6192302",4.6192302,52.2591079,268128043
268128054,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2606668,4.6219454",4.6219454,52.2606668,268128054
268128143,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2598184,4.619469",4.619469,52.2598184,268128143
268128294,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2591322,4.6190436",4.6190436,52.2591322,268128294
268128300,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2613205,4.6225092",4.6225092,52.2613205,268128300
268128309,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2600983,4.6244037",4.6244037,52.2600983,268128309
268128370,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2579159,4.6230872",4.6230872,52.2579159,268128370
268128393,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2598442,4.619383",4.619383,52.2598442,268128393
268128421,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2597355,4.6199177",4.6199177,52.2597355,268128421
268128434,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2600385,4.6245155",4.6245155,52.2600385,268128434
268128448,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2597855,4.6197515",4.6197515,52.2597855,268128448
268128512,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2598711,4.6257365",4.6257365,52.2598711,268128512
268128541,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2631603,4.6229116",4.6229116,52.2631603,268128541
268128556,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2607029,4.6200627",4.6200627,52.2607029,268128556
268128643,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2599787,4.6246272",4.6246272,52.2599787,268128643
268129021,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2607649,4.6201511",4.6201511,52.2607649,268129021
268129636,N/A,N/A,N/A,N/A,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2605694,4.6204531",4.6204531,52.2605694,268129636
1168205673,N/A,N/A,N/A,N/A,Netherlands,carport,N/A,"https://www.google.com/maps?q=52.2578126,4.6229922",4.6229922,52.2578126,1168205673
1168205774,N/A,N/A,N/A,N/A,Netherlands,carport,N/A,"https://www.google.com/maps?q=52.2595037,4.6188725",4.6188725,52.2595037,1168205774
