Objectnummer,Street,Housenumber,Postal code,City,Country,Gebruiksdoel,Functie,Google maps link URL,Longtitude LNG,Latidtude LAT,OSM_Way_ID
48595191,Kalslagerring,11,2151 TA,Nieuw-Vennep,Netherlands,school,N/A,"https://www.google.com/maps?q=52.2616747,4.6203717",4.6203717,52.2616747,48595191
237804824,Seinpostweg,N/A,1976 BT,IJmuiden,Netherlands,yes,N/A,"https://www.google.com/maps?q=52.4641772,4.5752392",4.5752392,52.4641772,237804824
237804966,Seinpostweg,N/A,1976 BT,IJmuiden,Netherlands,power,N/A,"https://www.google.com/maps?q=52.4643261,4.5771871",4.5771871,52.4643261,237804966
268124898,Kreilerhof,35,2151 PJ,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.260367,4.6262891",4.6262891,52.260367,268124898
268124999,Kreilerhof,7,2151 PJ,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2606196,4.6252429",4.6252429,52.2606196,268124999
268125260,Vagerveld,N/A,2151 ZB,Nieuw-Vennep,Netherlands,shed,N/A,"https://www.google.com/maps?q=52.2611912,4.6227407",4.6227407,52.2611912,268125260
268125498,Landei,10,2151 SR,Nieuw-Vennep,Netherlands,yes,N/A,"https://www.google.com/maps?q=52.2590814,4.6233813",4.6233813,52.2590814,268125498
268125644,Kreilerhof,41,2151 PK,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2602768,4.6264578",4.6264578,52.2602768,268125644
268125740,Zwattingburen,68,2151 ZL,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2619088,4.622743",4.622743,52.2619088,268125740
268126191,Kinlozen,35,2151 XB,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2621605,4.6219569",4.6219569,52.2621605,268126191
268126573,Vagerveld,N/A,2151 ZB,Nieuw-Vennep,Netherlands,shed,N/A,"https://www.google.com/maps?q=52.2611443,4.6227369",4.6227369,52.2611443,268126573
268126604,Kinlozen,29,2151 XB,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2622206,4.6217522",4.6217522,52.2622206,268126604
268127544,Zwattingburen,48,2151 ZL,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2616088,4.6234267",4.6234267,52.2616088,268127544
268127822,Kalslagerring,N/A,2151 SP,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2605845,4.6218796",4.6218796,52.2605845,268127822
268127893,Kalslagerring,N/A,2151 SP,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2605022,4.6218139",4.6218139,52.2605022,268127893
268127898,Oetewaal,15,2151 SL,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2598589,4.619604",4.619604,52.2598589,268127898
268127918,Vronen,194,2151 PH,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2600284,4.6241737",4.6241737,52.2600284,268127918
268128029,Kinlozen,66,2151 XD,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2631259,4.6228622",4.6228622,52.2631259,268128029
268128043,Gommerskerspel,25,2151 RB,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2591079,4.6192302",4.6192302,52.2591079,268128043
268128054,Kalslagerring,N/A,2151 SP,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2606668,4.6219454",4.6219454,52.2606668,268128054
268128143,Oetewaal,13,2151 SL,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2598184,4.619469",4.619469,52.2598184,268128143
268128294,Gommerskerspel,23,2151 RA,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2591322,4.6190436",4.6190436,52.2591322,268128294
268128300,Vagerveld,N/A,2151 ZB,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2613205,4.6225092",4.6225092,52.2613205,268128300
268128309,Vronen,1,2151 PA,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2600983,4.6244037",4.6244037,52.2600983,268128309
268128370,Wemmingen,24,2151 RL,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2579159,4.6230872",4.6230872,52.2579159,268128370
268128393,Oetewaal,13,2151 SL,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2598442,4.619383",4.619383,52.2598442,268128393
268128421,Oetewaal,19,2151 SL,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2597355,4.6199177",4.6199177,52.2597355,268128421
268128434,Vronen,5,2151 PA,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2600385,4.6245155",4.6245155,52.2600385,268128434
268128448,Oetewaal,17,2151 SL,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2597855,4.6197515",4.6197515,52.2597855,268128448
268128512,Vronen,38,2151 PC,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2598711,4.6257365",4.6257365,52.2598711,268128512
268128541,Kinlozen,64,2151 XD,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2631603,4.6229116",4.6229116,52.2631603,268128541
268128556,Kalslagerring,58,2151 TS,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2607029,4.6200627",4.6200627,52.2607029,268128556
268128643,Vronen,9,2151 PA,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2599787,4.6246272",4.6246272,52.2599787,268128643
268129021,Kalslagerring,58,2151 TS,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2607649,4.6201511",4.6201511,52.2607649,268129021
268129636,Kalslagerring,54,2151 TS,Nieuw-Vennep,Netherlands,house,N/A,"https://www.google.com/maps?q=52.2605694,4.6204531",4.6204531,52.2605694,268129636
1168205673,Wemmingen,23,2151 RL,Nieuw-Vennep,Netherlands,carport,N/A,"https://www.google.com/maps?q=52.2578126,4.6229922",4.6229922,52.2578126,1168205673
1168205774,Gommerskerspel,16,2151 RA,Nieuw-Vennep,Netherlands,carport,N/A,"https://www.google.com/maps?q=52.2595037,4.6188725",4.6188725,52.2595037,1168205774
