Objectnummer,street,huisnummer,postcode,city,Country,Longitude,Latitude,maps_url,Province
2558891512,Dijk van Kyoto,,1705 RC,Heerhugowaard,Netherlands,4.8144687,52.6444721,"https://www.google.com/maps?q=52.6444721,4.8144687",North Holland
2558892207,Dijk van Kyoto,,1705 RC,Heerhugowaard,Netherlands,4.8141576,52.6446902,"https://www.google.com/maps?q=52.6446902,4.8141576",North Holland
2558892210,Dijk van Kyoto,,1705 RC,Heerhugowaard,Netherlands,4.8138625,52.6448758,"https://www.google.com/maps?q=52.6448758,4.8138625",North Holland
2558892213,Dijk van Kyoto,,1705 RC,Heerhugowaard,Netherlands,4.8135541,52.6450955,"https://www.google.com/maps?q=52.6450955,4.8135541",North Holland
6851215097,Teding van Berkhoutstraat,77,2032 LK,Haarlem,Netherlands,4.655932,52.3797364,"https://www.google.com/maps?q=52.3797364,4.655932",North Holland
6851215098,Teding van Berkhoutstraat,71A,2032 LK,Haarlem,Netherlands,4.6557999,52.3797818,"https://www.google.com/maps?q=52.3797818,4.6557999",North Holland
6868198281,Nieuweweg,24a,1687 BA,Wognum,Netherlands,5.0282876,52.6911245,"https://www.google.com/maps?q=52.6911245,5.0282876",North Holland
6868198282,Nieuweweg,24a,1687 BA,Wognum,Netherlands,5.0281173,52.6911245,"https://www.google.com/maps?q=52.6911245,5.0281173",North Holland
6868198283,Nieuweweg,24a,1687 BA,Wognum,Netherlands,5.0280395,52.6909738,"https://www.google.com/maps?q=52.6909738,5.0280395",North Holland
6868198284,Nieuweweg,24a,1687 BA,Wognum,Netherlands,5.0280469,52.6908778,"https://www.google.com/maps?q=52.6908778,5.0280469",North Holland
6868240585,Nieuweweg,24a,1687 BA,Wognum,Netherlands,5.0280228,52.6907413,"https://www.google.com/maps?q=52.6907413,5.0280228",North Holland
6932342364,Kapelweg,,1906 DM,Castricum,Netherlands,4.6856917,52.5803944,"https://www.google.com/maps?q=52.5803944,4.6856917",North Holland
6985774116,Sterrenpad,,2051 KR,Haarlem,Netherlands,4.6235633,52.3937659,"https://www.google.com/maps?q=52.3937659,4.6235633",North Holland
7177394651,Vosmaerstraat,93,2032 LC,Haarlem,Netherlands,4.6558122,52.3781548,"https://www.google.com/maps?q=52.3781548,4.6558122",North Holland
8825990242,,,1271 GL,Huizen,Netherlands,5.2427074,52.310559,"https://www.google.com/maps?q=52.310559,5.2427074",North Holland
9761185624,Havenplein,,1781 AB,Den Helder,Netherlands,4.7771644,52.9628704,"https://www.google.com/maps?q=52.9628704,4.7771644",North Holland
10802645245,Grensweg,386,1791 NP,Den Burg,Netherlands,4.7602974,53.0639515,"https://www.google.com/maps?q=53.0639515,4.7602974",North Holland
10920988289,Ruijslaan,81H,1796 AZ,De Koog,Netherlands,4.7562345,53.0886348,"https://www.google.com/maps?q=53.0886348,4.7562345",North Holland
10920988290,Ruijslaan,81J,1796 AZ,De Koog,Netherlands,4.7590019,53.0887729,"https://www.google.com/maps?q=53.0887729,4.7590019",North Holland
11042898282,Hollandseweg,4,1795 LE,De Cocksdorp,Netherlands,4.8652605,53.1438697,"https://www.google.com/maps?q=53.1438697,4.8652605",North Holland
11042948877,Pontweg,102,1791 LB,Den Burg,Netherlands,4.7868363,53.0557367,"https://www.google.com/maps?q=53.0557367,4.7868363",North Holland
11047777084,Stolpweg,1,1797 AW,Den Hoorn,Netherlands,4.7531904,53.0251295,"https://www.google.com/maps?q=53.0251295,4.7531904",North Holland
11047777085,De Naal,4,1797 AC,Den Hoorn,Netherlands,4.7525756,53.0252799,"https://www.google.com/maps?q=53.0252799,4.7525756",North Holland
11297584519,Tempelierweg,,1791 NR,Den Burg,Netherlands,4.7585099,53.0723034,"https://www.google.com/maps?q=53.0723034,4.7585099",North Holland
11297584520,Gerritslanderdijkje,18,1791 NR,Den Burg,Netherlands,4.7579022,53.070795,"https://www.google.com/maps?q=53.070795,4.7579022",North Holland
11297584524,Rozendijk,22C,1791 PE,Den Burg,Netherlands,4.7684075,53.0621228,"https://www.google.com/maps?q=53.0621228,4.7684075",North Holland
11919874023,Wemmingen,38,2151 RM,Nieuw-Vennep,Netherlands,4.6219664,52.2575968,"https://www.google.com/maps?q=52.2575968,4.6219664",North Holland
11919874024,Wemmingen,1,2151 RK,Nieuw-Vennep,Netherlands,4.6234321,52.258542,"https://www.google.com/maps?q=52.258542,4.6234321",North Holland
11919874025,Landei,23,2151 RE,Nieuw-Vennep,Netherlands,4.6222367,52.2588124,"https://www.google.com/maps?q=52.2588124,4.6222367",North Holland
11919874026,Wemmingen,10,2151 RH,Nieuw-Vennep,Netherlands,4.6210846,52.2580694,"https://www.google.com/maps?q=52.2580694,4.6210846",North Holland
11919874027,Wemmingen,9,2151 RE,Nieuw-Vennep,Netherlands,4.6221929,52.2582029,"https://www.google.com/maps?q=52.2582029,4.6221929",North Holland
11919874028,Wemmingen,19,2151 RE,Nieuw-Vennep,Netherlands,4.6219416,52.2586558,"https://www.google.com/maps?q=52.2586558,4.6219416",North Holland
11919874029,Landei,3,2151 SR,Nieuw-Vennep,Netherlands,4.6223715,52.2591667,"https://www.google.com/maps?q=52.2591667,4.6223715",North Holland
11919874030,Landei,9,2151 SR,Nieuw-Vennep,Netherlands,4.6230335,52.2588124,"https://www.google.com/maps?q=52.2588124,4.6230335",North Holland
11919874031,Wemmingen,1,2151 RE,Nieuw-Vennep,Netherlands,4.622647,52.2585983,"https://www.google.com/maps?q=52.2585983,4.622647",North Holland
11919874032,Wemmingen,5,2151 RH,Nieuw-Vennep,Netherlands,4.6214031,52.2579142,"https://www.google.com/maps?q=52.2579142,4.6214031",North Holland
11919874033,Wemmingen,12,2151 RK,Nieuw-Vennep,Netherlands,4.6236034,52.2579835,"https://www.google.com/maps?q=52.2579835,4.6236034",North Holland
11919874034,Wemmingen,16,2151 RH,Nieuw-Vennep,Netherlands,4.6207241,52.2582468,"https://www.google.com/maps?q=52.2582468,4.6207241",North Holland
11919874035,Landei,6,2151 SR,Nieuw-Vennep,Netherlands,4.6227639,52.2589583,"https://www.google.com/maps?q=52.2589583,4.6227639",North Holland
11919874036,Wemmingen,32,2151 RL,Nieuw-Vennep,Netherlands,4.622795,52.2575855,"https://www.google.com/maps?q=52.2575855,4.622795",North Holland
11919874037,Wemmingen,22,2151 RL,Nieuw-Vennep,Netherlands,4.6229675,52.2579628,"https://www.google.com/maps?q=52.2579628,4.6229675",North Holland
11919874038,Landei,7,2151 SR,Nieuw-Vennep,Netherlands,4.6227697,52.258816,"https://www.google.com/maps?q=52.258816,4.6227697",North Holland
11919874039,Wemmingen,21,2151 RL,Nieuw-Vennep,Netherlands,4.6228591,52.2579735,"https://www.google.com/maps?q=52.2579735,4.6228591",North Holland
11919874040,Wemmingen,13,2151 RH,Nieuw-Vennep,Netherlands,4.6209142,52.2581523,"https://www.google.com/maps?q=52.2581523,4.6209142",North Holland
11919874041,Wemmingen,37,2151 RM,Nieuw-Vennep,Netherlands,4.6218033,52.2576592,"https://www.google.com/maps?q=52.2576592,4.6218033",North Holland
11919874042,Wemmingen,8,2151 RE,Nieuw-Vennep,Netherlands,4.6222404,52.2582395,"https://www.google.com/maps?q=52.2582395,4.6222404",North Holland
11919874043,Wemmingen,23,2151 RL,Nieuw-Vennep,Netherlands,4.6230285,52.2579258,"https://www.google.com/maps?q=52.2579258,4.6230285",North Holland
11919874044,Wemmingen,23,2151 RL,Nieuw-Vennep,Netherlands,4.6229376,52.2578331,"https://www.google.com/maps?q=52.2578331,4.6229376",North Holland
11919874045,Landei,3,2151 SR,Nieuw-Vennep,Netherlands,4.6224249,52.2591372,"https://www.google.com/maps?q=52.2591372,4.6224249",North Holland
11919874046,Wemmingen,43,2151 RM,Nieuw-Vennep,Netherlands,4.6225429,52.2573053,"https://www.google.com/maps?q=52.2573053,4.6225429",North Holland
11919874047,Wemmingen,16,2151 RK,Nieuw-Vennep,Netherlands,4.6233479,52.2581568,"https://www.google.com/maps?q=52.2581568,4.6233479",North Holland
11919874048,Landei,5,2151 SR,Nieuw-Vennep,Netherlands,4.6226477,52.2590185,"https://www.google.com/maps?q=52.2590185,4.6226477",North Holland
11919874049,Landei,6,2151 SR,Nieuw-Vennep,Netherlands,4.6226993,52.2589871,"https://www.google.com/maps?q=52.2589871,4.6226993",North Holland
11919874050,Wemmingen,40,2151 RM,Nieuw-Vennep,Netherlands,4.6221948,52.2574787,"https://www.google.com/maps?q=52.2574787,4.6221948",North Holland
